recording FP LP region condition
151117\151117-1\151117-1_bank2 2 9 B C
151117\151117-4\151117-4_bank2 2 9 B C
151119\151119-2\151119-2_bank1 2 9 B C
151119\151119-3\151119-3_bank1 2 9 B C
151122\151122-1\151122-1_bank1 2 9 B C
151122\151122-2\151122-2_bank1 2 9 B C
151214\151214-1\151214-1_bank1 2 9 B C
151216\151216-1\151216-1_bank1 2 9 B C
151117\151117-1\151117-1_bank1 2 9 P C
151117\151117-4\151117-4_bank1 2 9 P C
151119\151119-2\151119-2_bank2 2 9 P C
151119\151119-3\151119-3_bank2 2 9 P C
151122\151122-1\151122-1_bank2 2 9 P C
151122\151122-2\151122-2_bank2 2 9 P C
151214\151214-1\151214-1_bank2 2 9 P C
151216\151216-1\151216-1_bank2 2 9 P C
150627\150627-1\150627-1_bank2 2 9 B T
151116\151116-3\151116-3_bank2 2 9 B T
151116\151116-4\151116-4_bank2 2 9 B T
151118\151118-1\151118-1_bank2 2 9 B T
151118\151118-3\151118-3_bank2 2 9 B T
151120\151120-2\151120-2_bank2 2 9 B T
151120\151120-3\151120-3_bank2 2 9 B T
151121\151121-1\151121-1_bank2 2 9 B T
151213\151213-1\151213-1_bank2 2 9 B T
151213\151213-2\151213-2_bank2 2 9 B T
151215\151215-1\151215-1_bank2 2 9 B T
151220\151220-2\151220-2_bank2 2 9 B T
151220\151220-3\151220-3_bank2 2 9 B T
151222\151222-1\151222-1_bank2 2 9 B T
151222\151222-2\151222-2_bank2 2 9 B T
150627\150627-1\150627-1_bank1 2 9 P T
151116\151116-3\151116-3_bank1 2 9 P T
151116\151116-4\151116-4_bank1 2 9 P T
151118\151118-1\151118-1_bank1 2 9 P T
151118\151118-3\151118-3_bank1 2 9 P T
151120\151120-2\151120-2_bank1 2 9 P T
151120\151120-3\151120-3_bank1 2 9 P T
151121\151121-1\151121-1_bank1 2 9 P T
151213\151213-1\151213-1_bank1 2 9 P T
151213\151213-2\151213-2_bank1 2 9 P T
151215\151215-1\151215-1_bank1 2 9 P T
151220\151220-2\151220-2_bank1 2 9 P T
151220\151220-3\151220-3_bank1 2 9 P T
151222\151222-1\151222-1_bank1 2 9 P T
151222\151222-2\151222-2_bank1 2 9 P T
